TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F3,35.12,-99.2
F1,31.9,-98.6
F2,40.58,-75.7
F2,40.6,-76.75
F1,40.22,-75.0
F3,40.2,-76.12
F3,40.27,-76.07
F2,35.0,-96.25
F1,36.73,-102.52
F2,35.55,-97.6
F2,34.85,-95.75
F2,35.82,-97.02
F1,36.13,-95.83
F3,34.88,-99.28
F3,35.0,-99.2
F4,35.08,-96.4
F2,34.55,-96.2
F1,35.58,-99.17
F2,35.25,-99.55
F2,36.57,-99.57
F1,36.3,-99.8
F1,36.0,-97.0
F2,36.12,-97.83
F2,32.3,-90.12
F2,32.3,-90.17
F2,33.67,-88.78
F1,34.73,-88.27
F2,31.27,-89.83
F2,26.88,-98.12
F3,29.67,-95.05
F2,32.35,-95.2
F2,32.98,-94.63
F2,33.33,-94.42
F1,32.08,-98.35
F2,31.52,-96.55
F1,31.8,-94.2
F3,31.8,-94.2
F4,32.42,-99.5
F2,36.4,-100.8
F1,29.53,-95.45
F2,29.78,-98.83
F1,35.28,-103.52
F1,34.12,-107.23
F1,31.73,-91.07
F3,33.08,-89.58
F2,34.48,-92.4
F2,33.27,-92.95
F2,34.12,-93.07
F3,38.77,-90.22
F1,38.0,-92.22
F1,39.7,-92.07
F1,38.42,-92.77
F2,33.17,-90.55
F2,33.13,-89.57
F2,32.28,-90.27
F2,32.28,-90.27
F1,34.77,-96.83
F1,36.82,-100.52
F1,35.82,-99.12
F1,35.67,-99.23
F2,36.45,-99.03
F1,36.38,-95.27
F1,36.8,-97.25
F1,34.6,-89.12
F2,34.6,-89.12
F1,32.5,-88.85
F2,40.38,-95.8
F1,40.22,-100.63
F2,42.6,-97.88
F4,41.8,-96.6
F1,40.72,-96.82
F2,41.57,-72.57
F1,32.42,-89.13
F1,29.73,-84.98
F1,35.73,-78.4
F1,35.3,-79.8
F2,35.0,-80.68
F1,35.42,-77.25
F1,35.53,-77.4
F1,35.4,-80.57
F3,34.17,-78.6
F1,35.75,-77.42
F3,35.75,-91.22
F2,30.7,-87.92
F2,34.17,-93.03
F3,34.98,-91.73
F2,35.1,-91.4
F2,37.37,-87.2
F1,38.2,-84.5
F3,36.15,-91.83
F2,34.7,-92.35
F2,29.65,-81.22
F1,29.13,-81.35
F1,28.58,-81.37
F2,28.5,-81.37
F1,35.98,-89.92
F2,34.4,-91.43
F3,36.12,-91.83
F1,39.33,-75.87
F2,46.58,-96.33
F1,37.13,-93.38
F1,43.38,-97.97
F3,41.98,-93.6
F2,42.45,-91.92
F1,40.95,-95.73
F2,41.03,-95.27
F4,31.97,-94.0
F2,32.2,-93.58
F3,31.63,-93.65
F4,32.35,-93.77
F4,32.47,-93.7
F3,31.83,-93.47
F3,32.0,-93.27
F4,32.85,-93.43
F3,32.18,-93.2
F1,32.6,-91.33
F1,30.45,-93.45
F2,30.1,-91.0
F1,40.88,-84.58
F2,40.8,-84.62
F3,40.72,-84.08
F1,38.12,-95.85
F1,38.68,-99.32
F4,38.03,-99.12
F4,38.27,-98.92
F3,39.62,-95.62
F3,39.65,-95.57
F2,39.35,-98.48
F2,39.57,-98.3
F3,46.8,-97.92
F3,48.92,-103.77
F1,32.67,-101.88
F1,33.35,-96.92
F3,30.18,-96.4
F1,29.9,-96.4
F1,40.22,-87.15
F2,41.07,-85.08
F2,40.73,-102.55
F2,40.7,-102.5
F1,33.07,-80.0
F3,34.4,-94.37
F2,29.42,-95.25
F2,39.23,-98.95
F2,41.27,-73.5
F1,39.28,-81.38
F2,32.8,-93.23
F3,30.67,-88.2
F2,41.18,-110.42
F1,43.08,-104.5
F1,44.13,-104.18
F2,37.6,-90.68
F1,39.4,-97.65
F1,34.75,-84.92
F1,33.85,-84.25
F1,33.03,-84.15
F2,37.97,-100.77
F2,39.13,-100.63
F1,37.47,-100.82
F1,39.72,-97.77
F2,37.55,-98.42
F3,38.12,-96.82
F2,37.27,-99.48
F1,39.38,-96.97
F4,38.33,-97.93
F4,38.33,-97.92
F2,45.57,-90.3
F2,44.83,-90.35
F4,45.58,-89.58
F2,44.92,-90.32
F3,43.95,-88.95
F3,38.82,-90.1
F3,39.1,-89.3
F2,41.17,-87.33
F2,40.57,-88.6
F1,38.28,-101.28
F1,39.3,-96.92
F2,38.7,-97.08
F1,35.35,-89.77
F2,35.75,-89.48
F1,35.68,-85.77
F1,32.63,-91.28
F1,30.92,-91.13
F1,30.1,-90.03
F1,31.7,-93.3
F1,31.95,-92.63
F2,31.55,-92.9
F1,31.38,-91.73
F1,31.67,-92.9
F1,31.72,-92.83
F2,31.55,-91.97
F1,31.15,-91.95
F1,32.1,-93.9
F1,31.67,-93.7
F1,37.68,-95.52
F1,39.93,-101.0
F2,38.47,-100.88
F1,39.82,-96.8
F1,41.95,-89.77
F1,41.08,-88.43
F2,38.97,-90.05
F2,39.0,-89.92
F3,38.75,-89.67
F3,38.8,-89.6
F1,38.17,-89.78
F2,33.5,-88.43
F1,31.37,-95.6
F1,34.45,-98.32
F2,34.8,-94.8
F1,38.38,-101.55
F1,39.83,-77.23
F2,40.12,-79.12
F2,40.58,-79.25
F1,40.9,-74.6
F2,35.27,-98.18
F2,42.7,-84.05
F1,42.75,-84.75
F1,43.67,-84.33
F1,34.78,-98.23
F1,35.33,-99.87
F2,36.0,-98.95
F2,36.53,-101.8
F2,34.7,-97.7
F2,34.5,-99.0
F1,36.45,-95.75
F2,35.57,-95.27
F3,35.38,-98.8
F1,36.67,-97.33
F1,34.37,-98.72
F1,36.3,-98.18
F1,36.63,-102.78
F1,36.13,-99.8
F1,35.8,-97.2
F1,36.73,-98.67
F2,36.62,-95.02
F1,36.53,-97.07
F2,34.18,-102.12
F1,35.77,-101.38
F3,35.43,-101.18
F2,34.43,-100.2
F1,32.45,-100.02
F2,32.45,-97.42
F2,35.37,-98.13
F2,35.32,-97.55
F2,35.23,-97.72
F2,36.53,-98.92
F1,34.63,-99.6
F1,36.75,-97.4
F1,36.82,-100.53
F1,36.33,-98.2
F1,34.62,-98.08
F2,35.5,-97.58
F3,35.43,-97.58
F2,34.0,-96.6
F2,34.12,-96.52
F2,36.9,-101.9
F2,36.87,-101.9
F1,34.78,-98.28
F1,34.78,-98.27
F1,41.08,-98.0
F2,41.9,-103.5
F1,40.47,-101.55
F1,42.95,-103.88
F2,41.1,-103.05
F1,41.75,-103.25
F2,34.6,-92.02
F2,34.73,-91.7
F2,35.0,-93.5
F3,41.58,-72.5
F2,37.37,-122.12
F2,41.87,-72.25
F2,41.62,-73.42
F1,33.47,-88.48
F3,33.45,-88.87
F1,32.07,-89.52
F3,31.68,-89.25
F3,31.8,-89.2
F2,27.1,-82.48
F1,29.85,-84.68
F2,27.73,-82.43
F1,28.12,-82.03
F1,30.35,-81.75
F2,27.75,-81.8
F1,27.77,-82.63
F2,27.78,-81.53
F2,42.7,-71.13
F2,41.37,-70.53
F1,36.0,-78.33
F1,34.4,-77.53
F1,33.92,-78.23
F2,35.75,-81.33
F2,33.67,-87.7
F1,42.67,-84.83
F1,43.18,-83.22
F2,42.9,-84.88
F2,43.78,-85.87
F2,38.27,-85.05
F3,37.02,-88.33
F2,34.97,-86.43
F2,34.2,-86.7
F2,34.83,-87.8
F2,34.08,-86.52
F2,42.83,-71.13
F4,44.88,-94.37
F4,45.2,-93.38
F2,43.57,-94.77
F3,44.93,-93.5
F1,40.4,-95.17
F1,37.93,-91.88
F2,37.15,-94.47
F2,39.22,-94.02
F1,36.55,-91.7
F3,36.62,-89.75
F2,43.22,-93.8
F1,43.18,-95.87
F1,42.85,-95.95
F2,45.37,-96.83
F2,44.9,-96.08
F3,42.07,-92.92
F1,43.38,-96.25
F2,41.0,-83.67
F2,41.42,-81.85
F1,39.5,-84.58
F2,42.15,-83.55
F1,46.38,-102.25
F1,44.18,-123.23
F2,38.53,-99.32
F2,33.92,-98.45
F2,33.93,-98.68
F1,34.5,-102.3
F4,33.42,-98.75
F1,33.37,-99.9
F2,37.18,-101.35
F4,39.03,-99.88
F1,38.87,-99.37
F2,39.37,-95.4
F1,39.73,-97.98
F2,37.58,-101.33
F1,38.88,-99.92
F3,37.58,-101.37
F1,39.18,-99.03
F1,37.68,-97.12
F1,38.42,-95.62
F2,38.88,-95.35
F1,39.28,-100.95
F2,38.47,-101.37
F2,39.78,-85.77
F3,41.12,-86.48
F3,41.12,-86.42
F2,40.48,-86.12
F2,41.6,-87.33
F1,40.98,-102.27
F2,38.73,-103.58
F1,39.0,-104.25
F1,40.85,-102.5
F1,33.32,-81.13
F1,39.13,-81.7
F3,44.63,-92.08
F3,44.68,-92.03
F4,44.33,-89.3
F4,44.37,-89.22
F4,43.47,-89.25
F1,31.83,-81.5
F2,31.3,-83.83
F1,31.53,-84.17
F2,43.62,-88.5
F2,43.48,-90.23
F1,37.17,-101.62
F1,37.08,-101.77
F3,37.63,-98.75
F1,39.03,-95.8
F1,39.4,-95.4
F1,39.3,-95.5
F1,39.08,-99.5
F2,39.37,-101.37
F2,37.0,-101.9
F3,39.78,-101.33
F2,37.97,-101.25
F3,37.9,-101.2
F3,39.78,-101.38
F2,39.03,-96.97
F1,37.53,-101.75
F1,39.45,-97.5
F3,39.27,-97.18
F2,39.93,-97.43
F1,38.83,-99.27
F1,39.13,-97.05
F1,39.35,-96.45
F2,35.22,-87.03
F3,31.3,-92.47
F1,30.25,-93.42
F1,31.92,-92.73
F2,29.87,-90.13
F1,30.08,-89.8
F3,31.43,-92.43
F1,30.5,-92.0
F1,30.48,-90.42
F1,37.05,-101.77
F2,39.78,-100.92
F2,39.25,-99.57
F1,37.37,-78.78
F1,37.55,-76.73
F2,37.55,-77.48
F1,37.12,-76.53
F1,37.22,-76.52
F3,39.95,-89.17
F3,40.27,-89.47
F2,40.2,-89.72
F2,37.9,-89.53
F3,41.33,-89.18
F2,37.37,-89.78
F1,27.75,-82.65
F2,41.6,-80.3
F3,39.8,-76.98
F1,41.12,-75.28
F2,41.93,-79.75
F2,40.62,-77.57
F1,40.62,-76.72
F1,40.63,-74.32
F1,40.0,-74.6
F1,40.03,-74.57
F1,41.42,-81.5
F1,36.32,-95.7
F1,36.87,-100.88
F2,35.8,-97.5
F1,35.3,-99.67
F2,36.77,-99.08
F1,34.88,-99.87
F1,34.75,-97.92
F1,36.02,-96.82
F1,34.67,-98.87
F2,34.62,-98.42
F2,34.65,-98.43
F1,35.5,-100.0
F1,36.07,-98.32
F1,35.62,-99.68
F1,36.28,-98.42
F2,34.38,-99.0
F1,35.33,-97.83
F3,31.45,-100.47
F1,31.45,-100.48
F1,33.12,-98.6
F2,30.9,-95.3
F2,30.08,-93.77
F1,33.88,-98.58
F2,33.6,-96.7
F1,32.22,-95.85
F4,31.5,-97.45
F2,44.33,-74.0
F3,35.95,-75.6
F1,33.85,-88.47
F1,30.42,-89.48
F4,34.87,-89.68
F2,34.37,-89.52
F2,46.78,-103.02
F3,47.4,-99.55
F3,46.07,-96.95
F2,47.82,-103.55
F1,40.17,-74.4
F3,46.97,-104.25
F4,41.02,-96.32
F1,42.48,-98.67
F4,47.05,-100.5
F4,47.15,-100.1
F2,47.92,-97.17
F3,47.0,-104.05
F2,47.0,-98.67
F2,40.63,-96.93
F1,41.17,-103.0
F3,41.47,-97.28
F3,41.35,-97.17
F4,41.22,-96.58
F1,40.15,-99.8
F1,41.18,-103.33
F1,41.42,-103.07
F1,34.42,-91.4
F1,34.48,-91.55
F2,35.95,-90.15
F1,35.13,-93.93
F4,34.02,-94.02
F3,34.72,-92.82
F4,35.22,-91.7
F2,34.95,-92.42
F3,34.53,-91.8
F4,34.9,-91.85
F2,34.8,-91.8
F2,33.45,-93.97
F2,34.57,-94.4
F3,35.13,-91.45
F4,35.0,-91.25
F3,35.47,-91.2
F3,35.53,-91.05
F4,35.42,-91.0
F3,35.6,-90.72
F3,35.53,-90.42
F3,35.67,-90.52
F3,35.67,-90.52
F1,33.32,-93.25
F1,30.47,-85.25
F2,30.5,-84.23
F2,30.17,-85.7
F1,35.9,-91.63
F2,36.12,-90.93
F2,33.45,-93.97
F2,35.8,-78.88
F2,36.1,-77.25
F2,35.47,-76.38
F2,36.25,-77.75
F1,36.25,-80.17
F2,38.9,-94.27
F1,38.97,-91.5
F2,38.68,-93.27
F3,40.45,-95.07
F3,33.33,-87.9
F4,34.6,-87.0
F1,30.7,-88.28
F1,39.02,-77.22
F1,33.73,-87.75
F1,33.73,-87.75
F1,33.73,-87.75
F3,37.53,-85.72
F3,37.68,-87.3
F3,37.87,-86.9
F1,32.92,-85.97
F3,33.57,-87.67
F3,33.6,-87.63
F1,34.02,-86.75
F1,34.03,-86.73
F3,33.6,-86.93
F3,34.5,-85.7
F1,39.45,-77.55
F1,39.63,-77.42
F2,44.0,-95.28
F2,44.12,-95.08
F2,44.38,-94.58
F2,44.83,-93.5
F2,44.33,-93.85
F2,45.12,-93.08
F1,45.87,-96.18
F2,46.72,-93.53
F2,43.72,-93.48
F1,45.58,-96.22
F2,37.75,-90.5
F2,37.78,-90.35
F4,36.05,-89.82
F1,40.1,-94.53
F2,36.07,-89.93
F2,36.12,-89.88
F2,42.75,-92.97
F1,43.33,-93.08
F4,42.75,-95.85
F1,43.4,-96.1
F1,43.23,-97.58
F1,40.53,-81.5
F1,35.93,-97.73
F1,39.8,-86.07
F3,37.93,-86.77
F2,39.48,-102.6
F3,40.33,-104.57
F2,40.0,-103.6
F3,34.8,-82.25
F3,34.8,-82.13
F1,33.42,-81.42
F1,33.65,-96.75
F2,45.3,-95.5
F2,34.7,-94.28
F1,42.93,-104.33
F2,36.43,-78.72
F1,38.78,-77.15
F3,45.42,-92.63
F4,39.03,-94.92
F2,37.18,-97.42
F2,39.13,-95.15
F2,39.68,-99.45
F2,39.75,-100.12
F1,39.83,-100.2
F2,39.27,-101.85
F3,39.0,-98.52
F1,37.93,-99.42
F2,38.68,-97.02
F1,39.67,-95.87
F2,31.27,-84.02
F2,31.28,-84.0
F1,33.03,-83.97
F1,35.42,-86.7
F4,35.15,-86.58
F2,35.53,-85.85
F2,35.3,-84.67
F4,36.02,-89.2
F3,35.95,-89.43
F4,36.1,-89.27
F2,36.0,-88.12
F1,36.05,-87.03
F1,35.23,-86.82
F3,35.22,-86.6
F4,35.2,-86.3
F4,35.2,-86.28
F3,35.25,-85.83
F1,31.58,-84.17
F2,31.52,-83.78
F1,31.47,-83.5
F1,32.58,-82.33
F2,34.4,-83.33
F2,34.37,-83.58
F2,34.12,-83.67
F3,32.8,-83.68
F1,31.65,-84.17
F3,31.37,-83.25
F2,32.35,-94.0
F3,32.23,-93.65
F1,32.95,-92.83
F3,30.17,-92.87
F3,30.27,-92.62
F2,30.37,-92.13
F2,29.87,-91.62
F2,30.4,-91.92
F1,30.17,-85.7
F2,27.93,-82.82
F1,27.77,-82.62
F1,26.77,-80.22
F1,26.57,-80.12
F1,37.87,-99.47
F2,39.68,-97.87
F2,38.37,-78.73
F4,38.98,-95.22
F4,39.03,-95.17
F2,38.22,-78.83
F1,39.18,-90.37
F2,38.1,-89.93
F1,39.5,-90.02
F1,41.1,-90.78
F4,35.0,-89.58
F2,35.8,-88.78
F3,35.85,-88.67
F2,35.93,-88.5
F3,36.02,-88.27
F4,35.27,-88.98
F2,35.85,-87.68
F4,35.35,-88.82
F2,35.87,-87.58
F4,35.5,-88.52
F1,36.25,-85.93
F1,36.03,-86.77
F1,30.3,-80.53
F1,44.75,-106.17
F1,34.58,-98.42
F2,35.5,-97.83
F2,34.37,-96.2
F2,35.37,-96.08
F2,33.9,-94.83
F1,33.95,-95.08
F2,34.03,-94.57
F1,34.45,-95.3
F1,34.88,-99.85
F1,34.75,-99.65
F1,34.85,-99.53
F1,35.78,-98.75
F1,40.65,-76.53
F2,40.4,-79.2
F1,40.12,-75.87
F2,40.67,-76.68
F2,41.92,-79.63
F2,40.1,-76.4
F1,39.0,-84.18
F1,40.18,-95.93
F1,40.6,-99.1
F1,34.72,-97.62
F1,33.85,-97.03
F1,34.03,-88.88
F2,34.67,-88.43
F1,34.28,-90.65
F1,31.88,-89.95
F1,32.03,-89.67
F2,32.45,-91.15
F2,30.85,-89.13
F2,31.72,-91.07
F2,31.83,-89.43
F2,34.92,-88.52
F1,30.85,-89.13
F2,33.6,-88.62
F2,33.68,-88.55
F3,32.73,-91.07
F5,32.33,-90.9
F2,34.2,-90.73
F1,34.45,-96.97
F1,34.0,-96.75
F2,34.77,-97.95
F3,34.88,-97.7
F2,35.07,-97.48
F2,35.18,-97.25
F3,33.92,-97.27
F3,34.18,-96.95
F2,35.0,-94.53
F2,44.65,-97.62
F2,45.0,-101.23
F2,43.47,-101.5
F2,45.5,-97.98
F1,43.75,-97.37
F1,44.48,-103.78
F4,44.0,-92.08
F1,43.75,-94.68
F2,44.17,-93.88
F3,35.77,-78.1
F3,35.75,-78.08
F3,35.75,-77.73
F1,35.0,-77.67
F1,45.05,-69.3
F2,31.55,-90.88
F2,31.92,-90.62
F2,33.03,-91.02
F1,33.52,-89.92
F2,34.25,-89.05
F1,44.57,-97.52
F2,45.82,-100.82
F2,47.23,-105.15
F1,48.08,-105.58
F3,40.25,-97.57
F3,40.3,-97.45
