TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F0,30.4366,-92.1172
F1,34.829,-82.605
F0,35.2023,-113.9737
F4,31.7947,-92.808
F1,32.2802,-92.1872
F0,32.1923,-95.3492
F4,46.11,-96.63
F0,46.06,-96.51
F1,32.24,-95.268
F0,46.4145,-95.02
F0,47.5524,-94.9
F0,46.6434,-95.57
F1,32.6735,-94.5777
F1,31.5095,-93.9232
F0,45.88,-95.79
F0,40.7807,-87.0158
F0,46.0566,-97.2599
F1,46.6397,-97.55
F0,46.677,-97.7474
F0,46.5796,-96.7051
F0,38.7515,-102.8332
F0,39.0071,-102.535
F0,28.08,-81.78
F0,35.4909,-100.6394
F0,47.08,-96.65
F0,46.55,-95.72
F2,46.45,-97.783
F0,39.1706,-102.5336
F0,35.0812,-101.1375
F0,35.16,-100.98
F0,46.51,-97.79
F0,33.912,-93.6997
F0,35.16,-100.98
F0,35.22,-100.85
F0,34.251,-81.097
F1,35.286,-86.3304
F1,28.069,-81.559
F0,38.8904,-102.6945
F4,46.13,-96.563
F0,46.08,-96.33
F1,46.2,-96.12
F1,48.6977,-98.9213
F0,46.51,-96.24
F2,47.69,-97.25
F0,46.4411,-95.23
F1,46.25,-95.22
F0,31.3893,-88.4267
F0,25.9911,-97.2599
F0,35.11,-85.69
F1,33.633,-82.119
F0,34.26,-81.18
F0,28.119,-80.7135
F0,42.01,-103.66
F0,30.3658,-89.62
F1,41.7193,-103.3611
F0,31.11,-90.8089
F0,41.5488,-102.7816
F0,38.6262,-76.9655
F0,33.859,-93.388
F0,34.2518,-119.1949
F0,34.4248,-119.877
F0,43.42,-97.54
F0,37.7962,-86.1528
F1,48.23,-96.72
F0,47.92,-96.79
F0,43.1469,-105.5451
F0,41.7295,-104.8026
F0,41.03,-88.8316
F0,33.0118,-94.2
F0,39.5588,-100.296
F0,41.5211,-103.75
F0,41.4891,-103.5536
F1,37.8838,-101.4324
F0,37.9607,-101.3247
F0,38.0391,-101.2145
F1,35.9099,-101.4705
F0,38.2255,-101.0559
F0,38.2706,-101.0356
F0,38.1258,-101.2949
F0,30.05,-90.5
F0,41.3313,-103.9
F0,41.1379,-104.0224
F0,41.82,-103.6312
F0,36.9326,-102.3907
F0,41.75,-104.733
F0,41.6273,-105.0653
F0,41.1,-103.31
F1,38.389,-100.9654
F0,38.5157,-100.7167
F0,39.18,-100.55
F1,41.87,-103.6451
F1,39.5143,-100.2531
F0,41.13,-104.6893
F0,41.8698,-103.6137
F0,35.3,-119.27
F1,34.3474,-86.0671
F0,34.2692,-86.124
F0,34.6431,-86.8463
F0,32.24,-80.9
F0,36.7595,-87.3756
F0,39.3114,-90.7808
F0,38.9006,-89.3979
F2,45.06,-101.33
F0,38.4958,-101.1289
F0,41.15,-101.11
F0,41.13,-100.89
F0,42.1263,-80.1456
F0,36.53,-100.55
F0,36.62,-100.3216
F0,38.5117,-101.1271
F0,33.3152,-80.7664
F0,36.62,-100.3003
F0,39.4879,-89.2533
F0,41.3029,-83.1045
F0,27.5211,-97.9681
F1,32.6074,-87.7779
F1,33.6997,-87.5089
F1,33.844,-86.8488
F0,39.0222,-102.4963
F0,38.69,-93.28
F0,38.66,-93.65
F0,38.6648,-90.3403
F2,38.3505,-90.3498
F0,37.32,-90.74
F2,34.114,-94.037
F0,34.071,-93.97
F0,38.342,-90.2423
F0,38.1917,-90.785
F0,36.5847,-93.3165
F1,33.6024,-87.6769
F0,41.1788,-103.968
F0,34.0884,-86.5937
F0,38.9051,-91.1803
F0,38.97,-91.1486
F0,39.0993,-91.1096
F0,39.1583,-91.0586
F0,42.3174,-105.1195
F0,37.11,-99.27
F0,30.0156,-90.077
F0,44.74,-98.63
F0,44.74,-98.59
F1,44.62,-72.42
F1,35.08,-83.82
F0,39.1452,-89.5238
F0,38.857,-91.2067
F0,32.3645,-88.2842
F0,30.5131,-84.6022
F0,32.7628,-87.5461
F0,46.27,-109.96
F0,48.44,-97.21
F1,35.523,-80.997
F2,43.44,-95.951
F1,43.425,-95.897
F0,48.43,-96.69
F0,47.95,-95.02
F0,47.77,-97.69
F2,42.2938,-79.586
F1,42.1093,-78.6414
F1,42.2138,-78.6608
F0,44.2,-95.3
F0,44.2,-85.41
F0,43.2,-95.733
F0,44.17,-97.73
F0,40.4,-93.485
F0,43.14,-95.9
F0,43.09,-95.85
F1,48.43,-97.42
F0,27.6343,-97.4542
F0,28.1846,-97.2825
F2,28.0499,-97.1254
F1,28.1545,-97.7023
F1,38.3282,-90.7571
F0,37.39,-75.92
F0,33.3098,-84.063
F1,34.1786,-87.6088
F0,38.7017,-85.3974
F0,46.8531,-97.9595
F0,35.086,-82.481
F1,35.3228,-89.9383
F0,35.316,-81.922
F1,42.6638,-87.8996
F1,42.669,-87.8952
F0,34.8759,-90.0442
F0,34.827,-83.032
F0,35.566,-81.444
F0,34.751,-83.225
F0,35.7506,-90.4266
F1,48.4,-97.44
F0,35.557,-80.962
F0,35.268,-82.038
F2,34.0426,-83.9505
F0,38.4918,-90.4706
F1,36.9637,-86.3897
F0,33.2915,-84.0838
F2,38.3399,-90.8899
F1,38.6494,-90.2537
F0,38.5631,-90.9232
F0,38.5059,-91.0123
F0,38.0214,-85.5913
F1,38.1471,-91.4952
F0,34.9458,-85.0404
F0,39.29,-101.84
F0,39.2557,-101.3645
F1,39.483,-101.6225
F0,39.5384,-101.5834
F0,25.0898,-80.4307
F0,34.26,-82.381
F0,43.52,-98.8
F0,43.15,-99.1
F0,43.69,-99.23
F0,44.07,-96.0
F0,38.8102,-101.1443
F0,38.7805,-101.0555
F1,38.844,-100.3357
F0,43.56,-98.92
F0,38.83,-100.68
F0,43.5,-98.84
F0,36.38,-78.38
F0,39.1,-76.45
F0,40.28,-101.83
F0,29.8095,-90.4936
F0,30.56,-81.83
F0,34.1257,-80.393
F0,34.086,-80.3884
F0,39.1446,-91.835
F2,36.9407,-90.8514
F0,34.789,-80.872
F1,33.991,-80.541
F0,43.45,-98.48
F0,39.9321,-87.8187
F0,39.98,-82.85
F1,34.7436,-85.5602
F1,42.2661,-73.6643
F0,34.149,-84.4472
F0,31.4846,-92.2055
F1,44.32,-91.79
F0,36.6013,-79.72
F0,36.6013,-79.72
F1,36.9991,-97.3452
F1,35.647,-81.787
F0,45.7853,-87.8473
F0,45.7859,-87.8853
F0,43.84,-97.82
F0,43.845,-97.815
F0,44.1215,-105.3388
F0,39.1493,-101.1683
F0,33.3192,-84.0536
F2,44.7705,-92.5756
F1,44.9837,-92.481
F2,44.7611,-92.3459
F0,45.4534,-92.4615
F1,45.4161,-92.1798
F0,38.6247,-89.7812
F1,38.5935,-90.5559
F3,38.5024,-90.4622
F0,38.3067,-90.7819
F1,38.5003,-91.0222
F1,37.0283,-93.0351
F2,44.8398,-122.8789
F3,43.702,-93.4188
F1,33.6401,-88.67
F1,38.4526,-90.7366
F3,37.6857,-92.1901
F0,36.5254,-93.4262
F3,37.9394,-91.8018
F2,35.5635,-99.4618
F0,30.2729,-92.5989
F0,31.7667,-93.2623
F3,32.4869,-94.1689
F0,32.0824,-90.0529
F2,41.8172,-85.6873
F2,33.44,-88.8299
F3,32.9299,-89.7031
F0,41.652,-85.7322
F2,41.962,-86.092
F1,31.9896,-90.1025
F2,32.0868,-90.3663
F1,41.5713,-85.8311
F2,41.4879,-84.0131
F1,41.9857,-86.4199
F2,41.9792,-86.4982
F1,31.9935,-89.7217
F1,30.4932,-92.1891
F2,32.0123,-89.6019
F2,40.6382,-86.1844
F1,32.2939,-90.8702
F1,40.6447,-86.3736
F0,32.6586,-90.8576
F0,32.662,-90.851
F2,32.7151,-90.6259
F0,32.3658,-90.8303
F0,31.62,-89.08
F0,31.9728,-91.0652
F3,40.6382,-86.1656
F0,37.631,-93.3362
F1,30.4768,-92.2252
F2,32.905,-89.719
F1,30.4439,-92.3238
F0,40.6856,-86.8132
F1,41.5543,-86.0496
F1,32.2256,-90.1967
F0,32.21,-90.7
F0,30.1957,-92.6604
F1,30.3016,-92.5126
F1,32.8764,-90.7433
F1,42.67,-88.0745
F1,34.658,-82.086
F0,32.8929,-104.3832
F3,32.5182,-94.0432
F0,42.4932,-88.5704
F0,30.5363,-82.0404
F0,28.2537,-80.7246
F1,30.3897,-92.3996
F2,42.3307,-88.97
F1,38.0309,-93.1975
F1,36.5706,-93.3742
F0,36.616,-93.3498
F1,31.6527,-90.5849
F0,42.6625,-88.0884
F1,42.4951,-88.5695
F2,36.8186,-90.523
F1,45.4122,-92.1561
F1,32.4281,-86.5065
F1,33.553,-88.1022
F1,45.371,-91.7211
F3,39.9842,-89.862
F0,35.8464,-88.867
F2,33.8767,-88.4628
F0,33.1121,-86.0659
F0,32.5989,-86.2311
F0,30.645,-91.1532
F1,34.1558,-86.5751
F1,41.46,-75.56
F1,32.6267,-87.4231
F0,33.5105,-114.7453
F2,32.571,-95.8725
F0,33.0531,-95.7142
F0,33.1321,-95.56
F1,37.7908,-91.7028
F0,36.4988,-93.4131
F0,37.0875,-92.975
F1,37.7748,-91.7129
F2,32.0649,-95.6903
F0,30.815,-92.0455
F1,32.0872,-95.6296
F1,33.716,-118.125
F2,35.9977,-94.5655
F0,36.4794,-93.4399
F2,36.1422,-94.361
F2,36.1603,-94.3355
F2,36.0999,-94.4211
F2,36.1216,-94.3905
F3,36.0176,-94.5374
F2,32.8464,-90.4195
F1,32.0427,-90.9647
F1,37.4469,-93.3615
F0,37.9439,-93.4178
F0,36.73,-119.86
F0,40.8295,-84.5966
F0,48.7345,-97.904
F1,48.1,-95.78
F1,48.09,-97.69
F0,48.46,-97.1
F0,46.0555,-97.28
F0,30.42,-92.1662
F1,37.9132,-121.7658
F1,45.201,-93.868
F1,40.74,-73.84
F0,40.67,-73.99
F2,33.9932,-81.5013
F1,33.642,-82.1
F2,33.629,-82.042
F0,35.23,-85.83
F0,32.4755,-90.2386
F0,37.7648,-89.5304
F2,34.6638,-85.7544
F1,36.5925,-90.7902
F1,30.6831,-90.393
F2,31.8343,-90.3799
F1,42.2902,-85.1993
F0,37.4169,-103.9288
F1,35.4335,-92.4805
F0,35.18,-102.1231
F1,32.8472,-86.6814
F1,33.2391,-86.867
F1,34.5067,-81.3739
F0,32.23,-83.75
F3,35.4603,-92.7155
F1,34.3929,-92.5105
F1,34.493,-92.4036
F1,34.4668,-92.4234
F0,36.578,-79.003
F0,39.34,-103.42
F0,39.73,-122.55
F0,36.5,-100.82
F0,34.693,-92.1878
F1,34.9866,-101.2
F2,34.8164,-92.0757
F1,35.0246,-91.8557
F1,35.2105,-91.6726
F0,35.8582,-90.1086
F0,35.26,-100.8
F0,39.52,-104.16
F0,39.9,-104.08
F0,34.9807,-102.0625
F1,35.7152,-92.3778
F0,35.6288,-99.377
F1,35.7114,-92.3951
F0,40.36,-94.9
F1,41.3258,-83.5346
F1,33.3208,-92.3794
F1,34.303,-79.769
F1,34.0703,-92.5692
F2,34.283,-79.907
F0,39.32,-92.67
F0,41.03,-104.7154
F0,33.3128,-92.3858
F2,34.267,-80.029
F0,35.5689,-84.2829
F0,35.0638,-84.4753
F0,38.5906,-90.4392
F0,30.8079,-103.2501
F0,30.8203,-103.2987
F1,37.809,-91.5091
F2,35.62,-84.14
F1,38.196,-90.7726
F2,35.3549,-92.6427
F0,46.1124,-88.6579
F0,41.1202,-104.2298
F1,35.6555,-84.17
F2,34.1036,-86.8062
F1,34.5817,-92.3061
F0,41.17,-104.2238
F0,41.17,-104.1661
F0,41.17,-104.243
F0,41.17,-104.1661
F1,33.7713,-83.5032
F0,35.7413,-99.19
F1,35.6273,-91.53
F1,32.4158,-89.5848
F1,35.4438,-91.7018
F1,34.5898,-92.6561
F1,35.2398,-91.9072
F0,38.6639,-91.925
F0,38.6892,-91.8983
F2,35.7175,-80.3754
F0,33.3682,-105.5493
F1,38.4397,-92.0278
F1,32.4469,-89.5609
F2,35.3969,-92.1422
F0,31.1683,-88.0412
F1,34.36,-87.085
F0,36.5505,-86.9132
F0,38.877,-95.567
F0,30.5172,-82.0508
F3,33.2857,-89.3651
F0,43.7592,-89.2454
F0,38.5647,-102.0323
F0,38.6092,-101.8268
F0,40.7512,-104.7025
F1,34.1917,-86.4146
F0,31.2893,-86.0359
F1,35.6478,-87.5184
F0,36.534,-86.19
F0,38.5311,-102.6127
F2,32.4952,-91.1177
F2,36.8855,-84.73
F2,36.5888,-88.9391
F0,41.7665,-80.4119
F0,38.2869,-88.8557
F2,37.0571,-87.5981
F0,40.2709,-76.5235
F0,36.6314,-88.1843
F0,36.874,-90.579
F1,36.5222,-89.0553
F1,33.4133,-89.0883
F1,41.9577,-84.2174
F0,38.8531,-100.7337
F1,37.49,-102.71
F2,32.5576,-90.9641
F0,40.3755,-82.8014
F0,38.4415,-102.2162
F0,38.4375,-102.215
F0,37.1382,-87.4
F0,36.7613,-88.5263
F1,40.8302,-84.3991
F1,37.2972,-86.3676
F1,35.4173,-92.765
F0,42.1205,-102.9076
F0,36.1966,-102.6503
F2,40.8021,-94.2289
F0,37.0117,-93.0617
F1,36.908,-93.9369
F1,42.8036,-92.3134
F2,36.1056,-103.1659
F0,36.3571,-103.1445
F1,36.2749,-103.1307
F1,35.8859,-103.194
F0,43.4896,-93.8661
F1,36.0731,-103.1326
F0,43.7687,-89.2277
F0,43.7107,-89.2801
F0,43.457,-94.0286
F0,41.2995,-93.789
F1,39.9061,-102.4276
F0,36.9155,-93.4328
F0,43.3737,-94.1649
F0,35.8233,-101.9837
F0,35.85,-101.9343
F0,28.0708,-98.0175
F1,40.5899,-80.8847
F2,32.662,-90.7373
F3,32.4032,-91.2993
F0,39.8832,-97.0304
F1,36.4877,-92.6096
F1,40.5777,-80.8628
F4,32.9456,-90.1539
F1,42.1155,-83.4135
F0,43.3205,-83.0706
F1,33.7686,-92.0312
F1,38.8619,-100.5457
F2,33.0802,-89.8241
F0,41.3565,-80.3977
F1,34.5775,-88.9967
F0,43.7274,-89.3048
F4,32.7003,-90.6783
F0,25.1416,-80.4019
F0,40.2191,-83.4243
F1,37.8628,-84.8352
F0,42.1335,-93.302
F0,41.1171,-88.8841
F2,44.53,-102.12
F0,44.95,-102.08
F0,44.17,-88.687
F3,34.3181,-86.1085
F2,45.4381,-102.16
F2,45.169,-102.15
F0,45.766,-102.238
F0,42.3461,-85.8889
F0,42.8842,-93.3723
F0,32.3005,-96.5258
F1,36.5576,-103.0024
F2,35.9099,-101.4705
F0,42.9399,-100.2736
F2,42.9429,-99.9172
F0,36.5301,-102.8998
F0,36.8335,-101.6716
F0,35.8265,-102.3727
F0,35.7981,-102.299
F2,35.7911,-87.6977
F0,35.85,-102.1664
F0,39.0623,-102.5095
