hex_id,Year,tornado_count
1027,2001,1
1030,1997,1
1031,2004,1
1037,1956,1
1037,1977,1
1060,1947,1
1060,1989,1
1062,2003,1
1062,2005,1
1064,1993,1
1065,2001,1
1073,2013,1
1101,1997,1
1104,1986,1
1108,2001,1
1109,2004,1
1110,1964,1
1110,1975,1
1144,1989,1
1145,1930,1
1145,1995,1
1145,2002,2
1145,2004,1
1145,2005,1
1145,2007,1
1145,2009,1
1145,2013,1
1176,1983,1
1176,1989,1
1178,1913,1
1179,1901,1
1179,1965,1
1179,1988,2
1211,1978,1
1213,1973,1
1214,1975,1
1214,1991,1
1215,1903,1
1215,1922,1
1215,1959,1
1215,1974,1
1215,1979,1
1215,1981,1
1216,1959,1
1234,2005,1
1245,1910,1
1246,2005,1
1248,1904,1
1248,1934,1
1248,1961,1
1248,1975,2
1248,1991,1
1248,1992,1
1248,2000,1
1248,2005,1
1249,1904,1
1249,1915,1
1249,1916,1
1249,1921,1
1249,1965,1
1249,1971,1
1249,1973,1
1249,1987,1
1249,1991,1
1249,1992,1
1249,1995,2
1249,1998,3
1249,2002,1
1249,2003,4
1249,2008,1
1250,1901,1
1250,1903,3
1250,1906,1
1250,1912,1
1250,1920,1
1250,1922,2
1250,1924,1
1250,1926,2
1250,1928,1
1250,1931,1
1250,1945,2
1250,1952,2
1250,1954,1
1250,1955,1
1250,1956,1
1250,1958,3
1250,1960,1
1250,1961,2
1250,1962,1
1250,1963,1
1250,1964,1
1250,1965,2
1250,1968,2
1250,1971,1
1250,1975,1
1250,1976,2
1250,1978,1
1250,1979,1
1250,1983,1
1250,1987,2
1250,1988,1
1250,1989,1
1250,1990,1
1250,1991,1
1250,1992,2
1250,1994,1
1250,1995,1
1250,1996,1
1250,1998,3
1250,1999,1
1250,2000,3
1250,2001,1
1250,2002,4
1250,2003,1
1250,2004,1
1250,2005,2
1250,2007,1
1250,2009,1
1250,2010,2
1250,2011,1
1250,2012,2
1250,2013,1
1251,1953,1
1251,1986,1
1251,1996,1
1251,1999,1
1251,2008,1
1281,1996,1
1284,2010,1
1285,1901,1
1285,1904,1
1285,1974,1
1285,1979,1
1285,1993,1
1285,2005,1
1286,1997,1
1286,2000,1
1286,2004,1
1286,2005,1
1286,2007,1
1319,1924,1
1319,1973,1
1319,1993,1
1319,2003,1
1319,2011,1
1320,1991,1
1320,2005,1
1321,1911,1
1322,1965,1
1322,1977,1
1322,1987,1
1322,1991,1
1322,2000,1
1322,2004,2
1322,2009,2
1322,2010,1
1322,2013,1
1323,1983,1
1323,1994,1
1323,2000,2
1323,2001,1
1323,2003,1
1338,2002,1
1355,1907,1
1355,1970,2
1355,1985,1
1355,1988,1
1355,1993,1
1355,2010,1
1355,2011,1
1356,1974,1
1356,1987,1
1356,1991,1
1356,2001,1
1357,1915,1
1357,1923,1
1357,1934,4
1357,1973,1
1357,1987,1
1357,1992,1
1357,1997,1
1357,2010,1
1358,1906,1
1358,1947,1
1358,1953,1
1358,1961,1
1358,1989,1
1358,1991,1
1358,1992,2
1358,2000,1
1358,2003,1
1358,2010,1
1386,1930,1
1387,1973,1
1387,1994,1
1387,2010,1
1387,2011,2
1387,2016,1
1389,1942,1
1389,2012,2
1389,2014,2
1392,1938,1
1392,1940,1
1392,1951,1
1392,1955,1
1392,1992,1
1393,1976,1
1393,1994,1
1393,2012,1
1411,2010,1
1415,2013,1
1422,1910,1
1426,1934,1
1427,1991,1
1428,1914,1
1428,1995,1
1428,1997,1
1428,2003,1
1428,2007,1
1428,2012,1
1429,1916,1
1429,2009,1
1439,1990,1
1446,1949,1
1449,2000,1
1457,1913,2
1460,1925,1
1460,1957,2
1460,1999,1
1461,1925,1
1461,1931,1
1461,1948,1
1461,1955,1
1461,1989,1
1461,2013,1
1462,1911,2
1462,1932,1
1462,1937,1
1462,1938,1
1462,1940,1
1462,1948,1
1462,1955,1
1462,1957,1
1462,1959,1
1462,1964,1
1462,1966,1
1462,2009,1
1462,2010,1
1462,2011,1
1463,1926,1
1463,1927,1
1463,1939,1
1463,1943,1
1463,2002,1
1463,2003,1
1463,2007,2
1463,2015,1
1495,2007,1
1496,1975,1
1497,1906,3
1497,1911,1
1497,1914,1
1497,1926,1
1497,1929,1
1497,1931,1
1497,1932,1
1497,1935,1
1497,1937,1
1497,1943,1
1497,1955,2
1497,1979,1
1497,1993,1
1497,2000,2
1497,2002,1
1497,2003,1
1497,2007,1
1497,2009,1
1497,2010,3
1497,2011,1
1497,2013,1
1497,2015,1
1498,1901,1
1498,1910,1
1498,1931,1
1498,1936,1
1498,1955,1
1498,1976,1
1498,1994,1
1498,2000,3
1498,2004,1
1498,2010,1
1498,2011,2
1498,2015,2
1498,2016,2
1499,1926,1
1499,1976,1
1499,1984,1
1499,1999,1
1499,2000,1
1499,2001,2
1499,2002,1
1499,2007,1
1499,2012,1
1499,2013,1
1512,1949,1
1512,2005,1
1512,2010,1
1512,2011,1
1513,2005,1
1516,1976,1
1519,1946,2
1524,1933,1
1525,1904,1
1526,1901,1
1527,1944,1
1527,1945,1
1527,1995,1
1528,1902,1
1529,1901,1
1529,1952,1
1529,1972,1
1530,1988,1
1531,1915,1
1531,1938,1
1531,1955,1
1531,1960,1
1531,1964,1
1531,1967,1
1531,1997,1
1531,2013,1
1531,2015,1
1532,1904,1
1532,1919,1
1532,1948,1
1532,1959,1
1532,1997,1
1532,2010,1
1532,2012,1
1532,2015,1
1533,1901,1
1533,1917,1
